inst m l GREEDY MH GENETIC HYBRID
28 1000 500 134640887 134636335 139721068 134634917
29 1000 500 134731409 134728424 139651828 134728141
30 1000 500 134525073 134522862 139680890 134521304
31 1000 500 134802560 134800437 139644080 134799436
32 1000 500 134616643 134614333 139624889 134613911
33 1000 500 134631485 134628029 139646023 134628359
34 1000 500 134947502 134944178 139543027 134943653
35 1000 500 134833947 134831979 139742281 134831769
36 1000 500 134593122 134592088 139657414 134590494
37 1000 500 134617854 134615190 139810358 134614463
38 1000 500 134535277 134532513 139746998 134531609
39 1000 500 134892836 134891111 139824269 134890398
40 1000 500 134740129 134737479 139682305 134737141
41 1000 500 134587991 134586576 139776543 134585419
42 1000 500 134444490 134440824 139559678 134440000
43 1000 500 134675961 134674999 139824104 134675165
44 1000 500 134539425 134537721 139677334 134535081
45 1000 500 134798678 134795516 139574123 134795696
46 1000 500 134663571 134661496 139977752 134660439
47 1000 500 134468487 134465715 139790371 134465987
48 1000 500 134668445 134666158 139769240 134666503
49 1000 500 134848672 134846952 139698141 134846841
50 1000 500 134370368 134367432 139753790 134367298
51 1000 500 134624344 134622766 139610145 134622646
52 1000 500 134635875 134633528 139713613 134633364
53 1000 500 134510581 134509645 139597226 134509879
54 1000 500 134660726 134656470 139706573 134654733
55 1000 500 134607499 134605713 139729888 134605620
56 1000 500 134493738 134492074 139745980 134491785
57 1000 500 134687554 134685079 139579951 134685215
58 1000 500 134735387 134733634 139707002 134733527
59 1000 500 134695806 134692698 139780288 134693021
60 1000 500 134630349 134628590 139807811 134627627
61 1000 500 134505985 134504986 139850665 134502985
62 1000 500 134575446 134573894 139655745 134573488
63 1000 500 134629656 134626074 139671439 134623184
64 1000 500 134890704 134888504 139929121 134888156
65 1000 500 134696891 134693677 139423921 134693239
66 1000 500 134590812 134590112 139717885 134588543
67 1000 500 134571857 134570401 139693209 134569646
68 1000 500 134745428 134742286 139838159 134741582
69 1000 500 134590359 134589712 139736865 134586049
70 1000 500 134574978 134573316 139560926 134572166
71 1000 500 134596246 134592171 139692462 134592346
72 1000 500 134685977 134685637 139629983 134684719
73 1000 500 134529103 134527249 139578454 134527071
74 1000 500 134790879 134787267 139692748 134785751
75 1000 500 134698851 134694953 139917728 134694396
76 1000 500 134313003 134311172 139728663 134310733
77 1000 500 134652815 134647996 139851938 134648286
78 1000 500 134661326 134660408 139656655 134660510
79 1000 500 134384102 134383554 139725913 134383429
80 1000 500 134491124 134488710 139887719 134488208
81 1000 500 134889803 134887143 139607937 134886535
82 1000 500 134710559 134706506 139813334 134705637
83 1000 500 134650445 134647637 139654161 134646185
84 1000 500 134493134 134490949 139648598 134489932
85 1000 500 134662522 134660652 139737039 134660421
86 1000 500 134495548 134491883 139792662 134490073
87 1000 500 134539544 134538137 139640788 134538279
88 1000 500 135019866 135013946 139938155 135014437
89 1000 500 134546417 134543986 139806024 134543673
90 1000 500 134688917 134686220 139834520 134685190
91 1000 500 134681007 134679687 139817698 134679489
92 1000 500 134435175 134431423 139709186 134431754
93 1000 500 134797607 134795978 139785145 134795034
94 1000 500 134735496 134733883 139598225 134733658
95 1000 500 134483227 134481618 139704069 134481745
96 1000 500 134775518 134772375 139803031 134772058
97 1000 500 134624387 134622122 139603854 134621903
98 1000 500 134387126 134385718 139497001 134385020
99 1000 500 134510159 134509246 139717204 134508245
