inst m l GREEDY MH GENETIC HYBRID
56 500 100 2661962 2661797 2741761 2661797    
57 500 100 2652165 2651794 2750211 2651794    
58 500 100 2647502 2647397 2746510 2647397    
59 500 100 2653376 2652948 2746061 2652948    
60 500 100 2652846 2652525 2739857 2652525    
61 500 100 2648487 2647870 2744926 2647870    
62 500 100 2649251 2648646 2748534 2648643    
63 500 100 2648136 2647568 2743662 2647568    
64 500 100 2654671 2654242 2746279 2654242    
65 500 100 2647871 2647556 2744515 2647556    
66 500 100 2646055 2645946 2745584 2645934    
67 500 100 2651416 2650844 2740355 2650844    
68 500 100 2637069 2636327 2747206 2636327    
69 500 100 2643778 2643610 2737222 2643610    
70 500 100 2649611 2649305 2750961 2649305    
71 500 100 2636071 2635668 2727399 2635668    
72 500 100 2650827 2650500 2744496 2650500    
73 500 100 2655919 2655900 2740130 2655900    
74 500 100 2647302 2646782 2742189 2646782    
75 500 100 2646295 2645723 2740631 2645723    
76 500 100 2647563 2647254 2743124 2647254    
77 500 100 2645012 2644966 2748320 2644966    
78 500 100 2648109 2647875 2740938 2647854    
79 500 100 2652175 2651848 2750288 2651848    
80 500 100 2645065 2644775 2738295 2644775    
81 500 100 2659762 2659327 2749205 2659327    
82 500 100 2663027 2662917 2747504 2662917    
83 500 100 2663133 2663013 2754096 2663013    
84 500 100 2644029 2643804 2745758 2643804    
85 500 100 2648306 2647951 2745757 2647951    
86 500 100 2652335 2651969 2742120 2651969    
87 500 100 2657579 2657168 2745623 2657168    
88 500 100 2642071 2642060 2733745 2642060    
89 500 100 2673009 2672589 2748915 2672589    
90 500 100 2656784 2656634 2749933 2656634    
91 500 100 2660180 2659849 2751608 2659849    
92 500 100 2656845 2656821 2749106 2656812    
93 500 100 2653780 2653543 2733955 2653543    
94 500 100 2644364 2643836 2743579 2643832    
95 500 100 2651783 2651501 2744310 2651501    
96 500 100 2647758 2647525 2748615 2647525    
97 500 100 2659675 2659243 2737083 2659243    
98 500 100 2660256 2660011 2747194 2660011    
99 500 100 2654782 2654258 2746194 2654258    
0 500 300 23763019 23760700 24865454 23760734    
1 500 300 23807336 23806392 24982360 23806392   
2 500 300 23743840 23742131 24986806 23742131   
3 500 300 23791946 23791618 24966482 23791618
4 500 300 23818410 23814465 24910230 23814465 
5 500 300 23776698 23775247 25054081 23775247
6 500 300 23818614 23817296 24923653 23817296
7 500 300 23775323 23774955 24915521 23774943
8 500 300 23806489 23805077 24946499 23805159
9 500 300 23821393 23820307 24918709 23820307
10 500 300 23830447 23830162 25006568 23830162
11 500 300 23848750 23847920 24957065 23847920
12 500 300 23816843 23815232 24952349 23815228
13 500 300 23721810 23719455 24999187 23719500
14 500 300 23748908 23748090 24949518 23748090
15 500 300 23772198 23769867 24932025 23769881
16 500 300 23803082 23801000 24993493 23801144
17 500 300 23831547 23830354 24964381 23830354
18 500 300 23851669 23850046 24969530 23850063
19 500 300 23810572 23808937 24915994 23808985
20 500 300 23786021 23785184 24973064 23785184
21 500 300 23806768 23804693 24936900 23804710
22 500 300 23741666 23740931 24949208 23740962
23 500 300 23759351 23758594 24938225 23758597
24 500 300 23734329 23731777 24965410 23731777
25 500 300 23763124 23761186 24932383 23761190
26 500 300 23782261 23780633 25020091 23780642
27 500 300 23748435 23747504 24972925 23747504
28 500 300 23848582 23847161 24949671 23847184
29 500 300 23772085 23771217 24998689 23771217
30 500 300 23853526 23852760 24961125 23852760
31 500 300 23875324 23873583 24923082 23873588
32 500 300 23849710 23848036 24974707 23848048
33 500 300 23838660 23837701 24974387 23837812
34 500 300 23822207 23821707 24908110 23821707
35 500 300 23793691 23792901 25047808 23792901
36 500 300 23809888 23808444 24969776 23808444
37 500 300 23772535 23771172 24962767 23771229
38 500 300 23835444 23834337 24935987 23834337
39 500 300 23841858 23840038 24971985 23840080
40 500 300 23799441 23797544 24957710 23797586
41 500 300 23829810 23828489 24985961 23828461
42 500 300 23770309 23769598 24978921 23769598
43 500 300 23777923 23776391 24987032 23776409
44 500 300 23797215 23796392 24939847 23796392
45 500 300 23762903 23761025 24976367 23761025
46 500 300 23806953 23805745 24995984 23805766
47 500 300 23842962 23841414 24971094 23841414
48 500 300 23844184 23843051 24993149 23843051
49 500 300 23821372 23820714 24994822 23820714
50 500 300 23828814 23828058 24989891 23828058  
51 500 300 23794007 23792467 25001872 23792507  
52 500 300 23883036 23881318 25010237 23881336  
53 500 300 23794627 23793822 24964946 23793945  
54 500 300 23763536 23762560 24923874 23762560  
55 500 300 23688423 23687783 24925703 23687783  
56 500 300 23843473 23842163 24959667 23842163  
57 500 300 23785220 23784172 24951273 23784172  
58 500 300 23826571 23824168 25005072 23824168  
59 500 300 23816191 23814800 25012812 23814800  
60 500 300 23769024 23767170 24945423 23767170  
61 500 300 23848013 23847172 24996753 23847181  
62 500 300 23794616 23792737 24927595 23792733  
63 500 300 23790853 23789365 24958674 23789400  
64 500 300 23817136 23815956 25016960 23816087  
65 500 300 23779861 23779035 24957749 23779035  
66 500 300 23800393 23799086 24959375 23799071  
67 500 300 23811275 23810198 24969956 23810198  
68 500 300 23830520 23828352 24955374 23828352  
69 500 300 23828442 23828086 24931293 23828086  
70 500 300 23775392 23775004 24923701 23775002  
71 500 300 23721351 23720121 24974346 23720121  
72 500 300 23809020 23807260 24995755 23807260  
73 500 300 23741309 23740558 24937704 23740558  
74 500 300 23820268 23819496 24930500 23819496  
75 500 300 23733295 23732383 24962596 23732383  
76 500 300 23818214 23817390 25029682 23817528  
77 500 300 23797515 23795963 24985383 23795963  
78 500 300 23832964 23830546 25037806 23830546  
79 500 300 23750636 23749748 24958765 23749748  
80 500 300 23789610 23787763 24925417 23787763  
81 500 300 23740920 23739882 24931098 23739882  
82 500 300 23863268 23862123 24969559 23862109  
83 500 300 23838428 23836455 24982205 23836459  
84 500 300 23799576 23798524 25002343 23798524  
85 500 300 23764863 23762463 25003791 23762463  
86 500 300 23847537 23845509 24915303 23845509  
87 500 300 23796305 23795729 24957464 23795729  
88 500 300 23753167 23750794 24975825 23750803  
89 500 300 23807992 23806972 24995065 23806972  
90 500 300 23821038 23818669 25036201 23818703  
91 500 300 23767428 23766193 24988125 23766193  
92 500 300 23798293 23797983 24937548 23797983  
93 500 300 23855519 23854039 25013957 23854004  
94 500 300 23786127 23784438 24947630 23784438  
95 500 300 23872204 23870083 24985312 23870134  
96 500 300 23748515 23748129 24990176 23748129  
97 500 300 23839776 23838655 24978735 23838655  
98 500 300 23750191 23749061 24955789 23749065  
99 500 300 23782444 23781572 24988898 23781572  
0 500 500 65997537 65994826 69639249 65994280      
1 500 500 65963793 65962609 69600608 65962733
2 500 500 66025927 66024197 69676249 66023581
3 500 500 66135738 66133564 69569384 66133572
4 500 500 66046060 66044630 69622435 66044390
5 500 500 65948878 65946974 69565294 65945950
6 500 500 65828625 65827857 69645299 65827361
7 500 500 65963882 65960826 69659315 65960618
8 500 500 66044591 66040506 69709755 66040883
9 500 500 66119834 66117908 69654182 66117566
10 500 500 66127616 66125243 69510815 66125045
11 500 500 66150420 66146900 69634382 66147066
12 500 500 66219362 66218452 69669672 66218070
13 500 500 66019425 66018037 69472086 66015901
14 500 500 65988986 65988836 69552185 65986762
15 500 500 66142281 66139238 69585481 66139208
16 500 500 66114413 66113327 69588353 66113081
17 500 500 66038194 66037239 69584845 66037251
18 500 500 66068771 66067214 69655448 66067649
19 500 500 65833524 65832520 69585214 65832470
20 500 500 65981793 65979497 69830956 65979523
21 500 500 66076389 66073913 69578868 66073911
22 500 500 66240628 66237372 69635103 66237512
23 500 500 65851169 65847539 69637020 65848173
24 500 500 66152532 66150042 69566940 66149868
25 500 500 66114189 66110642 69545675 66109831
26 500 500 66030480 66028358 69561837 66028084
27 500 500 66090522 66088367 69538932 66087689
28 500 500 66209629 66207996 69691869 66207975
29 500 500 65948739 65947114 69635853 65947152
30 500 500 66099536 66098008 69595817 66098242
31 500 500 66056954 66054648 69554077 66054848
32 500 500 66013424 66009773 69640325 66009665
33 500 500 65968092 65965186 69773958 65965058
34 500 500 66082900 66081124 69650465 66081258
35 500 500 65935024 65931787 69619670 65931672
36 500 500 66021762 66017870 69539179 66017904
37 500 500 66081349 66078549 69585181 66078193
38 500 500 66169082 66167542 69550708 66168014
39 500 500 66137473 66135887 69507975 66136125
40 500 500 66041603 66039785 69394009 66039785
41 500 500 66204943 66202432 69552519 66202553
42 500 500 66096723 66094517 69719584 66093331
43 500 500 66166568 66163988 69538070 66163628
44 500 500 66150768 66147080 69676201 66146748
45 500 500 66154284 66152986 69677978 66152900
46 500 500 66119387 66116340 69493848 66116355
47 500 500 66038635 66036097 69701041 66036140
48 500 500 66127298 66124510 69748956 66124628
49 500 500 65958253 65955997 69661459 65954943
50 500 500 66136756 66135874 69686329 66134470
51 500 500 66118413 66116823 69517791 66115629
52 500 500 66055397 66052921 69424961 66052705
53 500 500 66151206 66148512 69578655 66148642
54 500 500 65965499 65962228 69638806 65960875
55 500 500 66150589 66149121 69738190 66149236
56 500 500 66120801 66118477 69536729 66117921
57 500 500 66129507 66126071 69540807 66126332
58 500 500 65973862 65971757 69624058 65971625
59 500 500 66169281 66164869 69533634 66164267
60 500 500 66186636 66182183 69667806 66182732
61 500 500 66211279 66209949 69681499 66209275
62 500 500 66202902 66201430 69515500 66201128
63 500 500 66008525 66006121 69543379 66006413
64 500 500 66128833 66124127 69637777 66124189
65 500 500 65968981 65967270 69663355 65966881
66 500 500 66103840 66102248 69616604 66102074
67 500 500 66224348 66221450 69707571 66221032
68 500 500 66116418 66114583 69544409 66113850
69 500 500 66003374 65998590 69547357 65998814
70 500 500 66037468 66034104 69652474 66033796
71 500 500 66140657 66139595 69733076 66139493
72 500 500 66144300 66141382 69563780 66140835
73 500 500 66168704 66165177 69534055 66165530
