inst  m      l     greedy      mh          ag
93    500    100   2653780     2653543     2733955
94    500    100   2644364     2643836     2743579
95    500    100   2651783     2651501     2744310
96    500    100   2647758     2647525     2748615
97    500    100   2659675     2659243     2737083
98    500    100   2660256     2660011     2747194
99    500    100   2654782     2654258     2746194
0     500    300   23763019    23760700    24865454  
1     500    300   23807336    23806392    24982360  
2     500    300   23743840    23742131    24986806
3     500    300   23791946    23791618    24966482
4     500    300   23818410    23814465    24910230 
5     500    300   23776698    23775247    25054081
6     500    300   23818614    23817296    24923653
7     500    300   23775323    23774955    24915521
8     500    300   23806489    23805077    24946499
9     500    300   23821393    23820307    24918709
10    500    300   23830447    23830162    25006568
11    500    300   23848750    23847920    24957065
12    500    300   23816843    23815232    24952349
13    500    300   23721810    23719455    24999187
14    500    300   23748908    23748090    24949518
15    500    300   23772198    23769867    24932025
16    500    300   23803082    23801000    24993493
17    500    300   23831547    23830354    24964381
18    500    300   23851669    23850046    24969530
19    500    300   23810572    23808937    24915994
20    500    300   23786021    23785184    24973064
21    500    300   23806768    23804693    24936900
22    500    300   23741666    23740931    24949208
23    500    300   23759351    23758594    24938225
24    500    300   23734329    23731777    24965410
25    500    300   23763124    23761186    24932383
26    500    300   23782261    23780633    25020091
27    500    300   23748435    23747504    24972925
28    500    300   23848582    23847161    24949671
29    500    300   23772085    23771217    24998689
30    500    300   23853526    23852760    24961125
31    500    300   23875324    23873583    24923082
32    500    300   23849710    23848036    24974707
33    500    300   23838660    23837701    24974387
34    500    300   23822207    23821707    24908110
35    500    300   23793691    23792901    25047808
36    500    300   23809888    23808444    24969776
37    500    300   23772535    23771172    24962767
38    500    300   23835444    23834337    24935987
39    500    300   23841858    23840038    24971985
40    500    300   23799441    23797544    24957710
41    500    300   23829810    23828489    24985961
42    500    300   23770309    23769598    24978921
43    500    300   23777923    23776391    24987032
44    500    300   23797215    23796392    24939847
45    500    300   23762903    23761025    24976367
46    500    300   23806953    23805745    24995984
47    500    300   23842962    23841414    24971094
48    500    300   23844184    23843051    24993149
49    500    300   23821372    23820714    24994822
50    500    300   23828814    23828058    24989891  
51    500    300   23794007    23792467    25001872  
52    500    300   23883036    23881318    25010237  
53    500    300   23794627    23793822    24964946  
54    500    300   23763536    23762560    24923874  
55    500    300   23688423    23687783    24925703  
56    500    300   23843473    23842163    24959667  
57    500    300   23785220    23784172    24951273  
58    500    300   23826571    23824168    25005072  
59    500    300   23816191    23814800    25012812  
60    500    300   23769024    23767170    24945423  
61    500    300   23848013    23847172    24996753  
62    500    300   23794616    23792737    24927595  
63    500    300   23790853    23789365    24958674  
64    500    300   23817136    23815956    25016960  
65    500    300   23779861    23779035    24957749  
66    500    300   23800393    23799086    24959375  
67    500    300   23811275    23810198    24969956  
68    500    300   23830520    23828352    24955374  
69    500    300   23828442    23828086    24931293  
70    500    300   23775392    23775004    24923701  
71    500    300   23721351    23720121    24974346  
72    500    300   23809020    23807260    24995755  
73    500    300   23741309    23740558    24937704  
74    500    300   23820268    23819496    24930500  
75    500    300   23733295    23732383    24962596  
76    500    300   23818214    23817390    25029682  
77    500    300   23797515    23795963    24985383  
78    500    300   23832964    23830546    25037806  
79    500    300   23750636    23749748    24958765  
80    500    300   23789610    23787763    24925417  
81    500    300   23740920    23739882    24931098  
82    500    300   23863268    23862123    24969559  
83    500    300   23838428    23836455    24982205  
84    500    300   23799576    23798524    25002343  
85    500    300   23764863    23762463    25003791  
86    500    300   23847537    23845509    24915303  
87    500    300   23796305    23795729    24957464  
88    500    300   23753167    23750794    24975825  
89    500    300   23807992    23806972    24995065  
90    500    300   23821038    23818669    25036201  
91    500    300   23767428    23766193    24988125  
92    500    300   23798293    23797983    24937548  
